Date,GLI_Open,GLI_High,GLI_Low,GLI_Close,TotalVolume,Divisor,SumOpen,SumHigh,SumLow,SumClose,RosterCount,Status
2026-06-11,396.098784005359548255010120197520817741678602057636690887850526654864771865732703364304440222959604907240703180277708148166866545969007227957638240836065084797899883414105568252236,404.613839458114587184269734724005472280798696425168250121519959674552661102585954889276084993647607617390016613434129800374800086707721449805596585262901280891779465027337962820234,390.979164138612668889474015797660511517494923335072346329439371010169945603600897395383547983824542226331672393567283251249769302092970011577290800502743665967829996442520911492012,400.775376361664184483759579121794019300937891722604361400962055266340025030554378374350659780428465850324895508573536583470000762130616854772955024473766919990836470659886883191023,271312967,32.8925397554962219877720685398192401591590552033508649154691900960732975824737331282922893044126666735018601441725530697704622003556623721717112959894620048287330553234106068667647,13028.695,13308.7768,12860.2977,13182.52,86,SUPERSEDING_BIG_OTC_REPAIR_EXACT_COMPONENT_OHLCV
2026-06-12,403.280230064432234433526500429967549934248030742830926271729303462849419365043717725904165878653181741510656536498916727224660480666428190790772447653964494529313560598240000818986,407.582035308168584206646804764409691868205316538448218421216681310380687622080753288387591476501637178025312068009226006331555804082544724828639657336519267062032599548296834586502,397.746610546055396453688457093645093069835433593400355461328573686077464807953620455508842338859369092180049354335422149061079048988793580663260526246783789232545711807578945188756,402.970402970636683984593064799236081076192373853666710245731451435678645401106141323970923404996980461673367383125519765845338258681035935260950290384003048714581125944433679476285,240883283,32.8925397554962219877720685398192401591590552033508649154691900960732975824737331282922893044126666735018601441725530697704622003556623721717112959894620048287330553234106068667647,13264.911,13406.4083,13082.8962,13254.72,86,SUPERSEDING_BIG_OTC_REPAIR_EXACT_COMPONENT_OHLCV
2026-06-15,406.580461691631565989121754872396471428558277263235512894253573024763758105826342704714809607708389035218560517083978090055547063256977255115057075082688351611704884214630698563503,411.455390815133082996867577977590677456091877046300476362953835524459666278589923409092506669802735790235095792958784750915194115429606604884495514063121467366524648498435924715667,400.682911625811982821961310931498004249923224382529388717077267987816112565249722808769287622703220970283964173957713845923236891465679949074946869325021876197202163255698231858309,404.481079870911524707535113321564281209328041680432473598869835032000474296019120561735894312265809977433832306207071626402547679783394994948602433916961957804371595765612769606682,320610691,32.8925397554962219877720685398192401591590552033508649154691900960732975824737331282922893044126666735018601441725530697704622003556623721717112959894620048287330553234106068667647,13373.464,13533.8128,13179.4786,13304.41,86,SUPERSEDING_BIG_OTC_REPAIR_EXACT_COMPONENT_OHLCV
2026-06-16,406.349983897689453541534238876265054942156556639473966265552786426983202966918407595004681927128695001026970970256019855906136626119183251663817572162113558095711695409753284953551,412.510511528157404031162960533366760823782624346131466031472239342944408981252267788931024969647957960534479802507971835877043326236811929535245770303762616799139503186017189163836,401.682141245790112123814418140052349579281176115189394699775393995806227571385441689901685525769956197903250805471217192900614904853795378468506952479106542263532638798194858767823,405.962570821814985935729237380591312654039273179693806828864470424408659485174070818453282766908797747669442201593749472346456214505028260768270152861640718922211998148105364938826,278497321,32.8925397554962219877720685398192401591590552033508649154691900960732975824737331282922893044126666735018601441725530697704622003556623721717112959894620048287330553234106068667647,13365.883,13568.5184,13212.3458,13353.14,86,SUPERSEDING_BIG_OTC_REPAIR_EXACT_COMPONENT_OHLCV
2026-06-17,405.752492790402243947491572754121442198817549197344210838319366164988578228103258048621204904779041016860329450165020887994467542743762390322673930043915903832446408563393199255570,412.594199197776775213655264356417934832767984636466304364782443177228874636294066097399441862713743973978509422024304856737494732424545151181496526099761328593292576767759183154617,399.600395643018338805668683861262875981045748359037730315262164683345344505026378517657877085294305053221614679558681995786340359077566277700820816213027350371332927558741550261488,402.660758289024704657501803696400244522439369691549396908003247834782331710329552603169228321669690692745608573675215767057349167235523215942803035767718353824673379212119148726072,318038155,32.8925397554962219877720685398192401591590552033508649154691900960732975824737331282922893044126666735018601441725530697704622003556623721717112959894620048287330553234106068667647,13346.230,13571.2711,13143.8719,13244.535,86,SUPERSEDING_BIG_OTC_REPAIR_EXACT_COMPONENT_OHLCV
2026-06-18,406.488677961264696515534271586244150313606846770802310246575473204331163993656041148691214373877747129239875799781035746183093546607590617940635223174336511270749411717344732109414,411.914142255799156836449667757781286751904931175340162137097156902537714922377192481506564397821109768461449897543994587902072995681650215895902779505676980723546047056831615609662,400.185969154312235106022614160891844843278110967436510108878554428741898063990332896780257939488406991298940396674274074397578247180857439879204151624343944212718603534304650583516,404.575934206368508065465867827293079446707459744821871499087016694719816339732714750140537283299795650389611146215412173895775560520753825019551813828872438713209314941343877701004,502103705,32.8925397554962219877720685398192401591590552033508649154691900960732975824737331282922893044126666735018601441725530697704622003556623721717112959894620048287330553234106068667647,13370.445,13548.9023,13163.1329,13307.53,86,SUPERSEDING_BIG_OTC_REPAIR_EXACT_COMPONENT_OHLCV
2026-06-22,405.663110820452394244826054085261613090517712944361893586191637290503044379219294294162983643612400671190460927849469218241233578202789646601971629742307950668349327032415808935919,411.399809822798962171556999327791514335073591115109227247191960038631621046436976968310016836583398416101199999592359049335989239928311921187152675487815460572442238819887331184244,400.816683600633865024920000963759954610273601762375475159623941396191553887860038766589566320410477495788041889957937962277388172886337829906736730398867166917387050481702862860175,406.193322234032455066080015168566177596894972894025707489969729661600905033823487449860731532981859048225327264306347150382866347452641568537022009762730638825442218835220464437513,316245006,32.8925397554962219877720685398192401591590552033508649154691900960732975824737331282922893044126666735018601441725530697704622003556623721717112959894620048287330553234106068667647,13343.290,13531.9846,13183.8787,13360.73,86,SUPERSEDING_BIG_OTC_REPAIR_EXACT_COMPONENT_OHLCV
2026-06-23,402.661062309330656527238761242892965029610457569960901388452661878573098832264532071721807305551209877594825813547037371376237718135322442962261206857179605366047859081272133046886,408.234706100986058157947265574982076663096773912266037050018750520399544992094676377064154073347023212324882624835846158121496875771525290201441352191934076084765982645923574512430,396.762512016704491708643726974033447382382525569280927470597784637553829460521829724238300463575843694506304751242480049034784213883685680028133618215185612380423099352826347926210,402.394284490857890833058514195530719986980844263865719794091838452174949334320048416833748949518125172406697826023579581551534303561500733387716075854931377809941773899528391531607,307602959,32.8925397554962219877720685398192401591590552033508649154691900960732975824737331282922893044126666735018601441725530697704622003556623721717112959894620048287330553234106068667647,13244.545,13427.8763,13050.5267,13235.77,86,SUPERSEDING_BIG_OTC_REPAIR_EXACT_COMPONENT_OHLCV
2026-06-24,404.303075981776704976546469850076424260656088870496600295737912392506324403088641724200899249636327248217138361255522297693301127950947575055843261037399180329613632376540449769422,413.804394588461025963377952227200894498287236956437499420937962452508110895550737796537448260844271952166623145392255872678015986201340193917470691652797664250202123112894689964169,400.002438176015210383216082494166329074235780527979485351176284473131601894281927320959376949892905481523477030853007979170937839990060072772695428338375613715772596124031075793836,407.848408779634433914076898274936618636297382966256099056579784058537116847851714250100719783972301367363981126503161062412137445959633462467305420789784030068110626504067106955098,344003748,32.8925397554962219877720685398192401591590552033508649154691900960732975824737331282922893044126666735018601441725530697704622003556623721717112959894620048287330553234106068667647,13298.555,13611.0775,13157.0961,13415.17,86,SUPERSEDING_BIG_OTC_REPAIR_EXACT_COMPONENT_OHLCV
2026-06-25,411.288884973969362979330668914457510088630467797887702510418752021132328937240368072216048777572308632015797859959528497546312558627565950867644371786983223186549513760729471891635,420.778009326181954471012784101758960783629281080743156924792804784686446168890437660908654745292518831663179152837497523300407640287011573978804560004090907782607616945357510978487,407.119827156623837608155507680596850405856993231869726704363522254401616801892767658530710701750390068063357946081404528238914100099783902605992986606789323679583364877631711964840,414.975100781605188352967224384044387487353884749538377511519091579804605686672926325380970442604273010289909581809298703638103363603213639096023014395712037197980479253749063343043,320159337,32.8925397554962219877720685398192401591590552033508649154691900960732975824737331282922893044126666735018601441725530697704622003556623721717112959894620048287330553234106068667647,13528.336,13840.4574,13391.2051,13649.585,86,SUPERSEDING_BIG_OTC_REPAIR_EXACT_COMPONENT_OHLCV
