Date,GLI_Open,GLI_High,GLI_Low,GLI_Close,TotalVolume,Divisor,ComponentSum,RosterCount,SourceYear,LockedBundle
2013-06-06,111.924121100152251913130250833438727997608865926899429015713571362935137097491240673397653459799316783560710316347146311054179202966763431469248040780305831395270222345238682846504,113.334738148916010635915771068185654396012665212291982035415085593337387854091273238669724707282138624212653926964576176214712463554997105536172720719785701110947629227948263113169,110.971244214050530774563712540465933141951110574804954719591532025312870110224068989913916464361964404171551990114507907907972976907221891173499735479797980264161497035741567496868,112.886176428485712,314089935,41.394617550540460,4672.8801000000,100,2013,GLI_2013_final_lock_bundle
2013-06-07,113.638626138230976645530245655359478479469328596245425394776890390352947348005212127076613749245540607619586629610088343452722315684686947398275482956294265009996998135293769027578,115.042151580321624535135700360194688911835491320714536153836561618710836111916765019193395501728246944143375041223214196693980961409155188188589611924961124292347929994360563450632,112.621998142386408929101799561451519507321641227978437003561137695668634572643551502342064358304794768484631007913173010425831048644506547194948117518083443252157420603877595886061,114.319787934318356,233695071,41.394617550540460,4732.2239000000,100,2013,GLI_2013_final_lock_bundle
2013-06-10,114.683483669799436627862266515374667580159841509627060488633671623046872330255605595766400682682768042316102306490565446652716060634363152314462006442673991174439354488730202230677,115.607496413202609054870239232593292325377520711743511812108313623156736734223764076414843563816446799071821915237712907138349093944171682501435092313717351641726384790133483382704,113.580130258713176172354221371611378434332192891860183958377101734518996941344173933866460562472391600207118503399533419137790491998223323377332187059848486175508445714860450629503,114.770467300475673,205172375,41.394617550540460,4750.8796000000,100,2013,GLI_2013_final_lock_bundle
2013-06-11,113.556096629827862954081703648086347147465768601323564934023088304941716580383911050051647344275226761231063336833497973847801452686367585411438768414123587343893933017179046967857,114.872165757015904321192858929320448132878997590680864895277032711053217466082047407011436296650361579836913710654230378321167037598858633171191360805393822883000968993883574401440,112.520350139242222434648491777542461098997585360948779646793191371136228547441270540862042217538019034983564048246044694632043630225289496879365134599556851848505944900716980172304,113.465826668536877,196947730,41.394617550540460,4696.8745000000,100,2013,GLI_2013_final_lock_bundle
2013-06-12,114.237706070690276011763516468787650702823218489987674751350319002995245812495814028833405869247266953509160024813744149865860525203255788973231452677612301659025364530967835567544,114.649573642017725711535002255296732274003044963565840833560648794821524927024490541254806168107795004217239722503345817133621072450300870800839839951706826807585405891873210112920,112.002382079181527390738830840337984161403212699674618354316543242580906713370023637654950243250398012906975385268629869737794565074320387869415771348468792636754996457500527647729,112.380605867906255,206078476,41.394617550540460,4651.9522000000,100,2013,GLI_2013_final_lock_bundle
2013-06-13,112.265399413277395310685057556694349144434544605007131772271903323601809637128894764599762469562801879405525740468767839349040644691660030130724488533032998494621088690427681342818,114.782400779063192999514249285033056453727976430868036747447984069544714146247539991457108470325733674375970557953967247957492403090243597954140999746174167454179088827936099326852,111.645880135606919279079480590574945675532903532457740511873742876409834685275612844813603921102031544627001946104076515018781321631026402368116634556735915310278294297668603200640,114.474390159890007,208433047,41.394617550540460,4738.6236000000,100,2013,GLI_2013_final_lock_bundle
2013-06-14,114.203199763154344529702090116658704005426897182460571156505236553962189767797236971371762849644607334679941650650177362396912341050440521139324086915267093939460292502786193375121,115.113938187374994599946479407528050233199140471007217613152256525939979238953699153206043543377816581261872070921115898705790999626400166713830780328446965150932986573915879633827,112.994614602555559717198365172335453162958868765621020406371859961419793019134736052370796579270738916805964267607485896928978679819203211661623373371950266911309001482937989856886,113.667070223688256,170818672,41.394617550540460,4705.2049000000,100,2013,GLI_2013_final_lock_bundle
2013-06-17,114.470657549123441581516406220532047054170150177957170241570846315436373476280084230509382765662260919502807396057033654746076191118183324760879103337749255497499869874448967601502,115.633221252131136127137527616387396519440449185950965897046806280911384234506844388839799531704399270317173071306742838739228520055303875639386026293464316279522160478857741466635,113.372349784040343329395744373062058392235704213319674320478167801855864076006200453628210974200727670999353080542092156550518432270863795635511216667602687180466940339606840747751,114.452169879708009,192802131,41.394617550540460,4737.7038000000,100,2013,GLI_2013_final_lock_bundle
2013-06-18,114.623103801088521780297645616479027364166891103150995564260999536357519298471456624777963306495860574390427951648204456695523126565684613760369928842162079809668829123130116083873,116.137016423138070849368154507131960108320634262730385376322008433691847811416568895557883048485052713168855138429903945606639931801401709620664204299294887319353347148892327183222,114.022665187786293419844640326896535424706467638616457897091555563332052989911800000159709401820069912040570550409640351910994558137783782919130101139734551435877688626376679022289,115.586481603754592,167061157,41.394617550540460,4784.6582000000,100,2013,GLI_2013_final_lock_bundle
2013-06-19,115.538082571554604104652710097029824689736920720504823599116865173024895837960380850431221802183706708244129051199281026327830409659514043903287342704896811781137153508504597297605,116.203752487896152166195952864410655945301716976036425383168481769313960003601466915340206530812161063364989784448210882706376455068302562936549208337980889066227880749145210400560,113.743017983388620616764434017696704984046841129746542270212824189561468191225939683439331939392307735359569809923728925661510366805366980079096272815470485891582727324105987715565,114.066518291539381,203851691,41.394617550540460,4721.7399000000,100,2013,GLI_2013_final_lock_bundle
2013-06-20,112.971826880555686646769432850099910139571413245007847242342643641240873388573054078003939808071947676705270771778341131845075508175360891123974501560722898963428198153973155267472,113.635719957148230073899726362846065746173972923466709597411802222018226712699443346273496550384959706527720708107373810814991755132543348899080124414118881482238873994795933496886,110.492535864631689204475589885409190203550662182955814486164614616875809018801368603558815241438872637810994211244436312298464967522509329225399305194374445663899936690458461541003,111.112281551685626,340353422,41.394617550540460,4599.4504000000,100,2013,GLI_2013_final_lock_bundle
2013-06-21,111.814749432953658525319093063914917315378820886625790351298338660384743026180911457602098466966783198040862132489393336362729934125610021084837282571611197781289342794048823327683,112.702602181209682978922079991222140192896287147234015116419277814472604237788153954139533321196565746825250935789774915725833531863965339225178470271620507790278492325330385462986,109.458413236598259557064376284604226391883871607195113138303857843396464653050966707541806778994998662297385390659692976172684908296264894238747077993482338407227785931230558279896,111.071343862191824,363664382,41.394617550540460,4597.7558000000,100,2013,GLI_2013_final_lock_bundle
2013-06-24,109.853173127053593511073767781644775195103595228306357878530930843898121262106322170631440579935210053217668248922997268418521349247692669146979465506392045063470408790688032110042,110.801258343088269037169188276434281762638222449511042216747525702271064055963994525444840842309191730873590472545936797137459088998150632545928432629401035499368798627414311498164,107.915531855535959523082491004660381503839847099529770611771510789045540833988826741169863079853250455334607514348998616267487734882458178475968302062110852731973957939262426589784,109.306467066052804,295759059,41.394617550540460,4524.6994000000,100,2013,GLI_2013_final_lock_bundle
2013-06-25,110.287471720222211920401042385988016938593602434267644735367675138675812216272612237817710935835542257561756881467784772952670643641508797387642285249384273140649099254488674555808,111.347546852254479565228211307784551867093480544645236908374126034657252396367242571835532585045720113761210793584668699305647429468233798053964950127815395957644869062822789251553,109.080716711362048784788481410012665246962357657882969368735669693995970706062014194477657029634749251730589376879659527749693804405033303763937161457587772197547634213806358647657,110.314226104992244,238275910,41.394617550540460,4566.4152000000,100,2013,GLI_2013_final_lock_bundle
2013-06-26,111.089917390923000292764061528572475882107215949218012288795987927052353162324241167858410013333384972939680767042897096183866917421733917167703600951331117050556669075940895727751,112.152442750270328356767920740714858241825401647076767015747645339887001742430702099158900320306134044525283606766885973777406144516685005522448247695083458408101708370599623073304,109.961266959738650032888331891742579056988369187727294815990632248015170744734649484067591060461299867536369234566025036949212453079300082218955562629411692278714432310044183532972,110.922715843283655,225008864,41.394617550540460,4591.6034000000,100,2013,GLI_2013_final_lock_bundle
