Ticker,StartDate,EndDate,Company,Identity,Aliases,Source,ComponentHistoryLabels,EventDate,EventType,PriorTicker,PriorCompany,EventDetail
ELV,2022-06-28,2025-12-31,"Elevance Health, Inc.",ELV,,GLI historical roster and company-name audit,,2022-06-28,NAME_AND_TICKER_CHANGE,ANTM,,Accepted same-security ANTM→ELV rekey; no reset solely for rekey.
EMMS,2006-11-20,2007-01-18,Emmis Communications Corporation,EMMS,Emmis Communications,GLI historical roster and company-name audit,Emmis Communications,,,,,
ESI,2005-09-22,2016-09-02,"ITT Educational Services, Inc.",ESI,ITT Educational Services,GLI historical roster and company-name audit,ITT Educational Services,,,,,
ETN,2006-11-20,2012-11-30,Eaton Corporation,ETN,Eaton Corp.,historical corporate-name chronology,Eaton Corp.,,,,,
ETN,2012-12-03,2013-08-01,Eaton Corporation plc,ETN,,historical corporate-name chronology,,,,,,
EXC,2006-03-07,2025-12-31,Exelon Corporation,EXC,Exelon Corp.,GLI historical roster and company-name audit,Exelon Corp.,,,,,
F,2005-08-01,2025-12-31,Ford Motor Company,F,,GLI historical roster and company-name audit,Ford Motor Company,,,,,
FD,2007-01-19,2007-05-31,"Federated Department Stores, Inc.",MACYS,Federated Department Stores,GLI historical roster and company-name audit,Federated Department Stores,,,,,
FI,2023-06-07,2025-11-10,"Fiserv, Inc.",FISV,,GLI historical roster and company-name audit,,2023-06-07,TICKER_CHANGE,FISV,"Fiserv, Inc.",Same security; ticker changed from FISV to FI.
FISV,2019-09-19,2023-06-06,"Fiserv, Inc.",FISV,,GLI historical roster and company-name audit,,,,,,
FISV,2025-11-11,2025-12-31,"Fiserv, Inc.",FISV,,GLI historical roster and company-name audit,,2025-11-11,TICKER_CHANGE,FI,"Fiserv, Inc.",Same security; ticker changed from FI back to FISV.
FITB,2005-08-01,2025-12-31,Fifth Third Bancorp,FITB,,GLI historical roster and company-name audit,Fifth Third Bancorp,,,,,
FO,2006-07-17,2011-10-03,"Fortune Brands, Inc.",FO,Fortune Brands,GLI historical roster and company-name audit,Fortune Brands,,,,,
FSS,2010-12-22,2025-12-31,Federal Signal Corporation,FSS,Federal Signal Corp.,GLI historical roster and company-name audit,Federal Signal Corp.,,,,,
FUN,2007-01-23,2024-06-30,"Cedar Fair, L.P.",FUN,"Cedar Fair, LP",accepted ticker lineage,"Cedar Fair, LP",,,,,
FUN,2024-07-01,2025-12-31,Six Flags Entertainment Corporation,FUN,,accepted ticker lineage,,,,,,
GABC,2005-08-01,2006-07-06,"German American Bancorp, Inc.",GABC,German American Bancorp,GLI historical roster and company-name audit,German American Bancorp,,,,,
GAS,2007-01-19,2009-05-29,Nicor Inc.,GAS,NICOR,GLI historical roster and company-name audit,NICOR,,,,,
GLDD,2007-09-27,2025-12-31,Great Lakes Dredge & Dock Corporation,GLDD,Great Lakes Dredge & Dock,GLI historical roster and company-name audit,Great Lakes Dredge & Dock,,,,,
GM,2005-08-01,2009-05-29,General Motors Corporation,GM_OLD,General Motors Corp.,accepted ticker lineage,General Motors Corp.,,,,,
GM,2010-11-18,2025-12-31,General Motors Company,GM_NEW,,accepted ticker lineage,,,,,,
GT,2005-09-22,2025-12-31,The Goodyear Tire & Rubber Company,GT,Goodyear Tire & Rubber,GLI historical roster and company-name audit,Goodyear Tire & Rubber,,,,,
H,2013-08-02,2025-12-31,Hyatt Hotels Corporation,H,Hyatt Hotels Corp.,GLI historical roster and company-name audit,Hyatt Hotels Corp.,,,,,
HAYN,2014-05-01,2024-11-21,"Haynes International, Inc.",HAYN,Haynes International,GLI historical roster and company-name audit,Haynes International,,,,,
HBNC,2005-08-31,2005-09-21,Horizon Bancorp,HBNC,Horizon Bancorp IN,GLI historical roster and company-name audit,Horizon Bancorp IN,,,,,
HOG,2005-09-22,2025-12-31,"Harley-Davidson, Inc.",HOG,Harley-Davidson,GLI historical roster and company-name audit,Harley-Davidson,,,,,
HON,2005-08-31,2006-07-14,Honeywell International Inc.,HON,Honeywell International,GLI historical roster and company-name audit,Honeywell International,,,,,
HRC,2016-09-06,2021-12-10,"Hill-Rom Holdings, Inc.",HRC,,GLI historical roster and company-name audit,,,,,,
